车名,车牌,类型,评分,最高价,最低价,总评数,差评词,差评词次数,总评前几,总评前几内容次数,好评词,好评词次数,手动耗油/L,自动耗油/L
Mustang,福特,跑车,4.49,591800,403800,33,"悬架减震硬,转向手感硬,悬架减震硬",25,"外观拉风,油耗满意,乘坐空间不错,转向很精准,内饰造型满意,悬架减震硬,转向手感硬,前排空间非常大,动力不错,悬架减震硬",133,"外观拉风,油耗满意,乘坐空间不错",71,10.8,24
保时捷911,保时捷,跑车,4.41,3898000,1228000,27,悬架减震硬,4,"油耗能接受,外观满意,乘坐空间大,悬架减震硬,操控一级棒,内饰造型满意,前排空间很充裕,路感反馈清晰,前备厢空间不错",46,"油耗能接受,外观满意,乘坐空间大",26,13.9,10
宝马2系,宝马,跑车,4.3,499800,255800,33,"后排空间比较小,悬架减震硬",8,"油耗满意,乘坐空间足够,外观时尚,转向精准,隔音超过预期,加速动力非常强,后备厢空间很宽敞,悬架减震硬,后排空间比较小,路感反馈清晰",64,"油耗满意,乘坐空间足够,外观时尚",32,8.8,9.3
英菲尼迪Q60,英菲尼迪,跑车,4.24,385800,366800,8,,0,"外观优美,油耗还可以接受,乘坐空间一流,音响超赞,前排座椅很舒服",26,"外观优美,油耗还可以接受,乘坐空间一流",19,11.4,11.4
马自达MX-5,马自达,跑车,4.16,340000,339000,15,乘坐空间小,3,乘坐空间小,3,,0,8.8,8.8
宝马M2,宝马,跑车,4.08,649800,599800,18,转向手感很紧,4,"外观实用,转向手感很紧,操控很棒,油耗满意,乘坐空间完全够,后备厢空间够用了,车尾灯迷人",27,"外观实用,乘坐空间完全够,油耗满意",13,14.9,14.9
斯派卡,野马汽车,MPV,4.88,75800,59800,11,,0,乘坐空间满意,7,乘坐空间满意,7,,
宝马2系多功能旅行车,宝马,MPV,4.75,306800,269800,6,胎噪有点大,3,"油耗满意,乘坐空间足够,胎噪有点大,乘坐空间比较满意",15,"油耗满意,乘坐空间足够,乘坐空间比较满意",12,7.2,7.2
启辰M50V,启辰,MPV,4.75,90900,65800,4,"后备厢空间太小,外漆面很薄,车尾灯丑",25,"油耗满意,乘坐空间不错,外观时尚,后备厢空间太小,前排座椅舒适,转向手感很轻,头部空间大,高速油耗满意,内饰造型很有科技感,转向不错",164,"油耗满意,乘坐空间不错,外观时尚",99,,
欧尚,长安欧尚,MPV,4.63,84900,58900,10,"悬架减震偏硬,发动机噪音有点大,起步动力肉",27,"乘坐空间很满意,油耗满意,外观漂亮,安全配置,转向精准,操控性能很好,前排座椅舒服,导航不错,内饰造型满意,转向手感很轻",497,"乘坐空间很满意,油耗满意,外观漂亮",283,6.8,6.8
途睿欧,福特,MPV,4.58,265800,176900,105,"内饰做工不够精致,内饰塑料感太强,转弯侧倾",13,"乘坐空间满意,外观时尚,油耗满意,操控感很好,储物空间大,前排座椅很舒服,转向精准,内饰造型很满意,后备厢空间大,转向手感比较轻",232,"乘坐空间满意,外观时尚,油耗满意",161,11.3,11.9
轩朗,力帆汽车,MPV,4.58,106800,69800,168,"油耗不满意,油耗吓人,悬架减震偏硬",64,"乘坐空间非常满意,外观漂亮,乘坐空间不错,油耗不满意,内饰配置丰富,油耗吓人,转向精准,悬架减震偏硬,后排空间很大,隔音不好",363,"乘坐空间非常满意,外观漂亮,内饰配置丰富",223,10.5,8.9
贵士,日产,MPV,4.57,468000,468000,29,导航垃圾,3,"乘坐空间足够,外观耐看,后备厢空间够大,油耗满意,音响满意,前排座椅舒服,导航垃圾",35,"乘坐空间足够,外观耐看,后备厢空间够大",22,14.1,14.1
凌轩,长安,MPV,4.57,110900,67900,205,"发动机噪音明显,离合器踏板不在一个平面,倒车影像延迟",19,"乘坐空间满意,外观漂亮,油耗满意,安全配置齐全,车内静音效果很好,内饰造型很满意,前排座椅舒适,操控很好,储物空间很多,转向手感很轻",594,"乘坐空间满意,外观漂亮,油耗满意",350,8.9,8.8
风行F600,东风风行,MPV,4.56,112900,93900,52,"内饰做工不满意,储物空间少,大灯不好",11,"乘坐空间不错,外观漂亮,前排座椅舒服,操控非常灵活,内饰造型满意,隔音很好,内饰做工不满意,储物空间少,转向精准,座椅材质挺舒服",108,"乘坐空间不错,外观漂亮,前排座椅舒服",74,8.1,10.2
大捷龙(进口),克莱斯勒,MPV,4.56,496900,496900,6,,0,乘坐空间比较宽敞,5,乘坐空间比较宽敞,5,,
日产NV200,日产,MPV,4.56,125800,107800,8,,0,"乘坐空间满意,油耗满意",9,"乘坐空间满意,油耗满意",9,,
英致737,潍柴英致,MPV,4.55,87800,49800,116,"后备厢空间略小,起步动力肉,内饰做工有待加强",17,"乘坐空间不错,油耗满意,外观漂亮,后备厢空间略小,倒车影像绝对方便,操控性很满意,转向不错,转向手感很稳,导航清晰,前排座椅舒服",187,"乘坐空间不错,油耗满意,外观漂亮",137,6.8,7.8
迈特威,大众,MPV,4.55,532800,391800,5,,0,乘坐空间满意,3,乘坐空间满意,3,11,11
瑞风R3,江淮,MPV,4.55,90800,64800,54,"发动机噪音比较明显,第三排空间不大",7,"乘坐空间足够宽敞,油耗满意,外观很时尚,内饰造型很喜欢,车内静音效果强,后排空间比较宽敞,转向手感稳,储物空间防滑,乘坐空间合适,大灯很犀利",133,"乘坐空间足够宽敞,油耗满意,外观很时尚",78,8.6,8.6
福美来F7,海马,MPV,4.54,119800,79800,42,味道大,9,"乘坐空间很满意,油耗满意,外观霸气,转向手感刚刚好,车内静音效果很好,味道大,加速动力很强,电子手刹很方便,操控很棒,储物空间足够",110,"乘坐空间很满意,外观霸气,油耗满意",65,8.5,9
别克GL8,别克,MPV,4.54,449900,229900,609,"油耗不满意,味道有点大,起步动力有点肉",291,"乘坐空间满意,外观时尚,油耗不满意,安全配置满意,后备厢空间大,车内静音效果不错,转向手感很轻,前排座椅舒适,储物空间很多,内饰造型满意",1683,"乘坐空间满意,外观时尚,安全配置满意",941,11.4,10.9
福美来MPV,海马,MPV,4.54,128900,79800,98,"外漆面有点薄,后备厢空间有点小,胎噪声有点大",20,"乘坐空间满意,外观很漂亮,安全配置实用,储物空间比较多,转向手感很轻,操控棒,转向精准,前排座椅舒适,车内静音效果不错,底盘悬架扎实",260,"乘坐空间满意,外观很漂亮,安全配置实用",171,8.7,9.6
途安,大众,MPV,4.53,199800,155800,487,"起步动力有点肉,味道大,第三排空间小了点",70,"乘坐空间满意,油耗满意,外观漂亮,转向手感很轻,转向精准,安全配置很到位,操控很稳,后备厢空间很大,后排空间很大,起步动力有点肉",1164,"乘坐空间满意,油耗满意,外观漂亮",766,7.6,7.6
上汽大通G10,上汽大通,MPV,4.53,269800,133800,64,"油耗差,油耗不满意,味道挺大",27,"乘坐空间不错,乘坐空间富裕,内饰外观很上档次,油耗差,内饰配置很好,外观不错,外形好看,油耗不满意,头部空间敞亮,后备厢空间特别大",141,"乘坐空间不错,乘坐空间富裕,内饰外观很上档次",68,8,8
开瑞K50,开瑞,MPV,4.52,73800,44900,125,"味道有点重,安全配置不够丰富,后排空间小",14,"乘坐空间不错,油耗满意,外观不错,乘坐空间没得说,转向精准,中控台造型蛮有科技感,车内静音效果不错,味道有点重,后备厢空间很大,储物空间很大",195,"乘坐空间不错,油耗满意,外观不错",141,8,8
华晨金杯750,金杯,MPV,4.52,73300,53800,351,"起步动力有点肉,后备厢空间太小,悬架减震比较软",62,"乘坐空间很满意,外观漂亮,安全配置满意,油耗满意,转向手感很轻,起步动力有点肉,转向精准,前排座椅很舒服,大灯很犀利,转向灵活",698,"乘坐空间很满意,外观漂亮,安全配置满意",443,7.4,7.2
北汽威旺M50F,北汽威旺,MPV,4.52,86800,55800,129,"悬架减震偏硬,隔音不好,起步动力有点肉",34,"乘坐空间满意,外观漂亮,安全配置丰富,油耗满意,操控很满意,内饰造型很满意,悬架减震偏硬,前排座椅很舒服,转向手感很轻,中控屏很灵敏",371,"乘坐空间满意,外观漂亮,安全配置丰富",220,7.3,7.2
宋MAX,比亚迪,MPV,4.52,129900,79900,966,"起步动力肉,后备厢空间太小了,隔音不算好",241,"外观漂亮,乘坐空间不错,乘坐空间够用,内饰配置挺高,安全配置丰富,内饰造型满意,后排空间大,转向精准,起步动力肉,中控屏不错",1991,"外观漂亮,乘坐空间不错,乘坐空间够用",1188,7.9,9
风行CM7,东风风行,MPV,4.51,229900,118900,40,"胎噪声挺明显,有异味,低配配置太差",10,"乘坐空间非常不错,外观感很好,油耗满意,操控自如,前排座椅挺舒服,后备厢空间大,内饰造型好,乘坐空间奢侈,转向特别灵活,储物空间特别棒",121,"乘坐空间非常不错,外观感很好,油耗满意",73,10.3,11.7
金杯F50,金杯,MPV,4.51,84900,69900,305,"起步动力有点肉,悬架减震有点硬,内饰材质是织物",28,"乘坐空间满意,外观漂亮,油耗满意,车子配置齐全,转向手感很轻,前排座椅舒适,内饰造型很满意,后排空间大,转向精准,储物空间人性化",645,"乘坐空间满意,外观漂亮,油耗满意",424,7.6,7.5
菱智,东风风行,MPV,4.48,89900,55900,107,"车内静音效果不好,转向手感不好操控,起步动力肉",21,"乘坐空间满意,外观漂亮,油耗满意,安全配置丰富,前排座椅挺舒服,转向精准,车内静音效果不好,转向灵活,操控很稳,储物空间很大",264,"乘坐空间满意,外观漂亮,油耗满意",174,9.1,8.6
瑞风M3,江淮,MPV,4.47,96800,59800,13,"油耗不满意,悬架减震偏硬",18,"乘坐空间满意,油耗不满意,外观霸气,高速油耗满意,保养费用不高,悬架减震偏硬",57,"乘坐空间满意,外观霸气,高速油耗满意",36,9.7,9.7
欧尚A800,长安欧尚,MPV,4.47,119900,59900,284,"悬架减震比较软,后备厢空间有点小,起步动力肉",64,"乘坐空间很满意,外观时尚,功能配置很实用,中控屏很喜欢,隔音不错,操控轻松,悬架减震比较软,转向精准,内饰造型很满意,储物空间很多",654,"乘坐空间很满意,外观时尚,功能配置很实用",426,8.9,10.1
嘉华(进口),起亚,MPV,4.47,392400,271800,21,"音响差,悬架减震偏硬,大灯不亮",13,"乘坐空间没的说,油耗满意,外观很漂亮,后备厢空间巨大,音响差,味道小,储物空间完美,底盘悬架扎实,悬架减震偏硬,转向手感棒",72,"乘坐空间没的说,油耗满意,外观很漂亮",37,8.8,12.5
传祺GM8,广汽传祺,MPV,4.45,259800,176800,118,"油耗不满意,后备厢空间小,后备厢空间有点小",43,"乘坐空间满意,外观漂亮,乘坐空间不错,油耗不满意,外观霸气,功能配置很满意,转向手感比较轻,后备厢空间小,储物空间很方便,后备厢空间有点小",212,"乘坐空间满意,外观漂亮,乘坐空间不错",114,11.9,16
奔驰R级,奔驰,MPV,4.4,726800,548800,30,"导航垃圾,后备厢空间有限,转向手感硬",18,"乘坐空间满意,外观漂亮,导航垃圾,油耗满意,后排空间充足,后备厢空间有限,悬架减震很舒服,转向手感硬,内饰造型老旧,音响一流",74,"乘坐空间满意,外观漂亮,油耗满意",39,13.3,13.3
C4 PICASSO,雪铁龙,MPV,4.38,265800,216800,16,,0,"乘坐空间不错,油耗很宽敞,后排空间大",17,"乘坐空间不错,油耗很宽敞,后排空间大",17,7.7,7.2
帅客,东风,MPV,4.38,91800,68800,21,,0,"乘坐空间方便,外观漂亮,油耗满意,后排空间灵活",29,"乘坐空间方便,外观漂亮,油耗满意",25,,
大7 MPV,纳智捷,MPV,4.38,259800,169800,1,,0,乘坐空间比较满意,5,乘坐空间比较满意,5,11.5,11.5
伽途im6,福田乘用车,MPV,4.38,72900,61900,9,,0,"油耗满意,乘坐空间不错,外观帅气",13,"油耗满意,乘坐空间不错,外观帅气",13,7.8,7.8
睿行S50,长安轻型车,MPV,4.38,77900,48900,46,"隔音不太好,第二排座椅不能放倒",7,"乘坐空间满意,外观漂亮,油耗满意,转向精准,操控感非常好,前排座椅很舒适,外漆面很好,头部空间大,隔音不太好,转向手感很轻",113,"乘坐空间满意,外观漂亮,油耗满意",77,8.3,10.5
北汽幻速H3,北汽幻速,MPV,4.37,67800,55800,858,"隔音不好,起步动力肉,发动机噪音很大",75,"乘坐空间满意,车型配置高档,外观漂亮,倒车影像很实用,内饰造型满意,底盘蛮不错,倒车雷达很好,导航不错,隔音不好,储物空间很方便",1441,"乘坐空间满意,车型配置高档,外观漂亮",1170,8.5,9.4
宝骏360,宝骏,MPV,4.36,75800,56800,371,味道有些大,19,"乘坐空间充裕,油耗满意,乘坐空间满意,前排座椅舒适,转向精准,外观很漂亮,安全配置挺到位,味道有些大,内饰造型满意,转向手感很轻",413,"乘坐空间充裕,油耗满意,乘坐空间满意",272,7.1,7.7
宝骏730,宝骏,MPV,4.36,108800,60800,1213,"悬架减震偏硬,味道大,隔音不好",382,"乘坐空间满意,外观漂亮,油耗满意,安全配置齐全,悬架减震偏硬,味道大,内饰造型满意,隔音不好,转向手感很轻,前排座椅很舒服",2653,"乘坐空间满意,外观漂亮,油耗满意",1703,6.9,7.3
瑞风M4,江淮,MPV,4.34,164800,99800,88,"油耗不满意,发动机噪音有点大,起步动力略肉",40,"乘坐空间没得说,油耗不满意,外观漂亮,安全配置好了,中控台造型很时尚,悬架减震很舒服,操控感不错,发动机噪音有点大,隔音很好,起步动力略肉",187,"乘坐空间没得说,外观漂亮,安全配置好了",120,8.5,10.9
北汽昌河M70,北汽昌河,MPV,4.32,64900,54900,38,"悬架减震偏硬,起步动力比较肉,胎噪比较明显",12,"乘坐空间大,外观漂亮,操控很好,转向精准,内饰造型简约,转向灵活,后备厢空间大,后排空间宽敞,中控台造型上档次,大灯炯炯有神",102,"乘坐空间大,外观漂亮,操控很好",60,9.5,9.5
海马V70,海马,MPV,4.29,128900,78900,177,起步动力比较肉,3,"空间够大,外观大气,油耗低,外观漂亮,乘坐舒适,乘坐空间不错,乘坐空间满意,油耗能接受,油耗满意,隔音很好",55,"空间够大,外观大气,油耗低",25,9.3,8.6
奥德赛,本田,MPV,4.26,354800,229800,107,"隔音不行,储物空间不够,后备厢空间小",58,"乘坐空间满意,油耗满意,外观很漂亮,隔音不行,乘坐空间非常满意,功能配置合理,储物空间不够,后备厢空间小,悬架偏硬,胎噪音太大",273,"乘坐空间满意,油耗满意,外观很漂亮",155,9.8,9.7
比亚迪M6,比亚迪,MPV,4.25,153900,103900,168,"隔音差,发动机噪音比较大,眼镜盒关不上",26,"乘坐空间不错,外观漂亮,安全配置满意,油耗满意,隔音差,全景摄像头可圈可点,发动机噪音比较大,眼镜盒关不上,天窗太鸡肋,悬架减震偏硬",206,"乘坐空间不错,外观漂亮,安全配置满意",144,10.6,9.9
风行S500,东风风行,MPV,4.25,99900,59900,452,"后备厢空间太小,起步动力肉,悬架减震偏软",106,"乘坐空间不错,外观漂亮,安全配置丰富,油耗满意,后备厢空间太小,车内静音效果很好,转向精准,前排座椅舒适,起步动力肉,悬架减震偏软",784,"乘坐空间不错,外观漂亮,安全配置丰富",459,7.5,8.6
北汽威旺M60,北汽威旺,MPV,4.25,98800,66800,15,悬架减震比较软,3,"乘坐空间方便,导航好用,内饰造型挺满意,外形好看,悬架减震比较软",21,"乘坐空间方便,导航好用,内饰造型挺满意",15,,
艾力绅,本田,MPV,4.25,309800,249800,236,"悬架减震硬,后备厢空间太小,隔音差",80,"乘坐空间没得说,油耗满意,外观漂亮,悬架减震硬,后备厢空间太小,前排座椅舒适,隔音差,低配配置太低,导航垃圾,外漆面太薄",477,"乘坐空间没得说,油耗满意,外观漂亮",315,10.1,10.1
别克GL6,别克,MPV,4.24,168900,141900,66,"后备厢空间小,悬架减震偏软,发动机噪音有点大",108,"乘坐空间满意,外观时尚,油耗满意,安全配置很好,后备厢空间小,转向手感很轻,车内静音效果不错,转向精准,储物空间挺多,内饰造型很满意",847,"乘坐空间满意,外观时尚,油耗满意",467,9.3,9.3
伽途im8,福田乘用车,MPV,4.23,79900,70900,31,,0,"乘坐空间很满意,外观时尚,油耗满意,操控性好,储物空间充足,动力很强,中控屏满意,转向灵活,转向手感很轻,后排座椅调节方便",83,"乘坐空间很满意,外观时尚,油耗满意",53,,
北汽幻速H2V,北汽幻速,微面,4.56,39800,35800,57,"隔音不好,发动机噪音太大",6,"乘坐空间够用,外观满意,油耗挺不错,转向手感很轻,发动机噪音太大,后排空间很大,后备厢空间大,隔音不好,动力强劲",69,"乘坐空间够用,外观满意,油耗挺不错",50,8.6,8.6
北汽威旺M30,北汽威旺,微面,4.49,55800,44300,35,"味道有点大,导航不好用,后备厢空间小",11,"乘坐空间满意,安全配置不咋地,油耗满意,外观漂亮,转向快速,前排座椅比较舒服,中控屏灵敏,味道有点大,转向精确,操控轻松",114,"乘坐空间满意,安全配置不咋地,油耗满意",68,7,7
启腾EX80,福汽启腾,微面,4.46,60800,42900,11,,0,"外观漂亮,油耗满意",7,"外观漂亮,油耗满意",7,,
佳宝V77,一汽,微面,4.42,35900,30900,8,,0,"乘坐空间很满意,外观满意",8,"乘坐空间很满意,外观满意",8,7,6.6
欧诺,长安欧尚,微面,4.36,60900,39900,52,"悬架减震比较硬,隔音不好,刹车有点硬",21,"乘坐空间满意,油耗满意,外观漂亮,车子配置很齐全,转向精准,转向手感很轻,后排空间大,悬架减震比较硬,前排座椅很舒服,内饰造型比较满意",310,"乘坐空间满意,油耗满意,外观漂亮",211,9.1,9.1
小海狮X30,金杯,微面,4.34,46800,35000,98,"发动机噪音大,车内静音效果差,悬架减震硬",15,"乘坐空间挺足,外观漂亮,油耗满意,发动机噪音大,转向很好,转向手感很稳,车头比较圆润,座椅造型刚刚好,车内静音效果差,储物空间非常大",127,"乘坐空间挺足,外观漂亮,油耗满意",91,6.9,7.2
乐途,力帆汽车,微面,4.31,59800,35800,39,,0,"乘坐空间耐看,外观流畅,油耗满意",29,"乘坐空间耐看,外观流畅,油耗满意",29,7.6,7.6
海狮X30L,金杯,微面,4.31,58800,46800,96,发动机噪音太大,6,"乘坐空间满意,外观漂亮,油耗满意,内饰配置到位,前排座椅舒服,转向手感很轻,转向灵敏,操控棒,座椅材质舒适,倒车影像比较实用",244,"乘坐空间满意,外观漂亮,油耗满意",158,8.9,8.5
东风风光330,东风风光,微面,4.28,48900,36900,13,"油耗不满意,隔音不好,大灯太暗",28,"乘坐空间满意,油耗不满意,外观漂亮,转向手感很轻,隔音不好,离合器踏板太低,刹车有点软,大灯太暗,后排空间充裕,安全配置偏低",90,"乘坐空间满意,外观漂亮,转向手感很轻",50,7.9,7.9
北汽幻速H2,北汽幻速,微面,4.27,66800,39800,549,"油耗不低,车内静音效果不好,大灯不是很亮",126,"乘坐空间不错,车子配置讲究,外观漂亮,油耗不低,导航实用,倒车影像很方便,车内静音效果不好,转向手感很轻,倒车雷达比较好,转向很精准",918,"乘坐空间不错,车子配置讲究,外观漂亮",683,8.8,8.7
北汽威旺M20,北汽威旺,微面,4.25,41800,36800,18,隔音不好,4,"乘坐空间不错,外观漂亮,车子配置很齐全,车头犀利,高速油耗满意,隔音不好,转向精准,后备厢空间大,前排座椅舒服",60,"乘坐空间不错,外观漂亮,车子配置很齐全",38,8,8
伽途ix7,福田乘用车,微面,4.23,69900,53900,52,"内饰颜色单一,胎噪有点明显,加速动力比较肉",9,"乘坐空间满意,外观漂亮,功能配置比较高大,油耗满意,转向精准,前排座椅很舒服,储物空间非常满意,内饰造型明显,后排空间很大,隔音好",165,"乘坐空间满意,外观漂亮,功能配置比较高大",103,6.6,6.6
五菱宏光,五菱汽车,微面,4.22,69800,42800,516,"隔音不好,悬架减震偏硬,导航太简单",85,"乘坐空间满意,外观漂亮,安全配置多好,转向手感很轻,保养费用便宜,隔音不好,悬架减震偏硬,操控很好,高速油耗满意,前排座椅很舒服",656,"乘坐空间满意,外观漂亮,安全配置多好",443,7.4,7.6
北汽威旺306,北汽威旺,微面,4.21,46400,31800,18,油耗不满意,4,"乘坐空间不错,油耗不满意,外观比较大气",23,"乘坐空间不错,外观比较大气",19,5.8,6.4
长安之星9,长安欧尚,微面,4.1,56000,47800,20,,0,"乘坐空间没得说,油耗不错",18,"乘坐空间没得说,油耗不错",18,8.4,8.4
五菱荣光,五菱汽车,微面,4.08,47100,36800,248,"发动机噪音过大,转向很重,离合器踏板比较高",26,"乘坐空间真的很大,油耗满意,外观漂亮,音响效果不错,后排空间大,转向很重,发动机噪音过大,保养费用便宜,离合器踏板比较高,备胎不好",246,"乘坐空间真的很大,油耗满意,外观漂亮",185,7.8,7.7
伽途ix5,福田乘用车,微面,4.04,58900,41900,42,后排空间不够,3,"乘坐空间够用,外观漂亮,油耗满意,前排座椅舒适,转向精准,车内静音效果不错,转向手感很轻,大灯犀利,内饰做工不粗糙,储物空间大",127,"乘坐空间够用,外观漂亮,油耗满意",76,7.5,7.5
五菱之光,五菱汽车,微面,4.01,34900,30800,254,"悬架减震比较硬,发动机噪音过大,外漆面太薄",36,"乘坐空间够用,油耗满意,外观漂亮,保养费用便宜,悬架减震比较硬,发动机噪音过大,转向手感太沉,隔音不好,外漆面太薄,转向不满意",264,"油耗满意,乘坐空间够用,外观漂亮",181,7.1,7.1
长安之星3,长安欧尚,微面,3.99,39900,29900,43,"发动机噪音很大,起步动力肉",9,"乘坐空间够用,油耗满意,外观漂亮,保养费用便宜,大灯犀利,发动机噪音很大,高速油耗稳定,内饰做工不错,头部空间充足,起步动力肉",69,"乘坐空间够用,油耗满意,大灯犀利",37,6.8,7
优优2代,开瑞,微面,3.96,44000,34000,105,,0,"乘坐空间够用,油耗满意,外观漂亮",18,"乘坐空间够用,油耗满意,外观漂亮",18,7.8,8.6
佳宝V80,一汽,微面,3.88,53900,40900,38,,0,外观漂亮,5,外观漂亮,5,7.4,7.6
东风小康K07S,东风小康,微面,3.88,32900,28900,3,,0,乘坐空间没问题,3,乘坐空间没问题,3,6.6,6.6
佳宝V75,一汽,微面,3.88,30900,28900,8,,0,油耗满意,4,油耗满意,4,7,7
五菱之光V,五菱汽车,微面,3.76,36800,33800,19,安全配置缺失,3,"油耗满意,乘坐空间够用,外观流畅,安全配置缺失",22,"油耗满意,乘坐空间够用,外观流畅",19,6.6,6.6
五菱荣光V,五菱汽车,微面,3.75,46800,39800,4,油耗不满意,9,"油耗不满意,乘坐空间满意,首保免费,转向手感很轻",23,"乘坐空间满意,首保免费,转向手感很轻",14,,
丰顺,力帆汽车,微面,3.71,49380,32800,26,,0,"乘坐空间能装,油耗很少",15,"乘坐空间能装,油耗很少",15,,
佳宝V52,一汽,微面,3.67,29200,27200,45,,0,"油耗比较低,乘坐空间没的说",13,"油耗比较低,乘坐空间没的说",13,7.3,7.3
成功V1,成功汽车,微面,3.5,40000,32800,7,,0,空间很棒,4,空间很棒,4,6.5,6.5
长安V5,长安跨越,微面,3.05,46600,42800,9,,0,乘坐空间能装,5,乘坐空间能装,5,9,9
优劲,开瑞,微卡,4.88,46500,34500,15,,0,"乘坐空间能装,油耗满意,外观漂亮",16,"乘坐空间能装,油耗满意,外观漂亮",16,8.2,8.2
金杯T30,金杯,微卡,4.88,48100,35500,13,,0,乘坐空间比较满意,7,乘坐空间比较满意,7,,
神骐T20,长安轻型车,微卡,4.63,59700,33900,22,,0,"乘坐空间挺不错,油耗满意,外观很符合",18,"乘坐空间挺不错,油耗满意,外观很符合",18,,
东风小康C32,东风小康,微卡,4.5,42900,38900,1,,0,"油耗满意,显示屏不太容易,乘坐空间够用,倒车影像不太容易",19,"油耗满意,显示屏不太容易,倒车影像不太容易",16,8,8
金杯T52,金杯,微卡,4.5,53800,48800,15,,0,"乘坐空间满意,外观漂亮",10,"乘坐空间满意,外观漂亮",10,9.2,9.5
金杯T32,金杯,微卡,4.27,49200,38700,24,,0,"乘坐空间没话说,外观很漂亮",15,"乘坐空间没话说,外观很漂亮",15,7.7,8.5
长安星卡,长安欧尚,微卡,3.98,44800,32900,70,"外漆面有点薄,转向很沉,音响系统不行",14,"外观漂亮,乘坐空间完全够,油耗满意,前排座椅舒服,大灯不错,远程遥控有效,外漆面有点薄,转向很沉,后排空间大,音响系统不行",86,"外观漂亮,乘坐空间完全够,油耗满意",50,7.3,7.1
五菱之光小卡,五菱汽车,微卡,3.84,32900,29900,23,后排空间太小,3,"油耗满意,后排空间太小",9,油耗满意,6,7.5,7.5
五菱荣光小卡,五菱汽车,微卡,3.8,52800,34600,11,,0,"外观协调,乘坐空间不错",6,"外观协调,乘坐空间不错",6,7.3,7.3
上汽大通V80,上汽大通,轻客,4.88,1300000,135800,8,,0,"乘坐空间不错,油耗满意,外观漂亮",10,"乘坐空间不错,外观漂亮,油耗满意",10,,
睿行M80,长安轻型车,轻客,4.75,72000,56900,24,,0,"乘坐空间不错,外观经典",10,"乘坐空间不错,外观经典",10,,
睿行M70,长安轻型车,轻客,4.75,74000,60500,16,,0,"乘坐空间满意,油耗很不错",19,"乘坐空间满意,油耗很不错",19,,
特顺,江铃,轻客,4.66,142700,101300,64,"高速油耗不满意,味道有点重,刹车太软",19,"乘坐空间没问题,外观漂亮,乘坐空间够用,油耗满意,高速油耗不满意,转向精准,前排座椅很舒服,后备厢空间很大,味道有点重,底盘悬架很扎实",114,"乘坐空间没问题,外观漂亮,乘坐空间够用",60,8.9,8.9
图雅诺,福田,轻客,4.63,199800,109800,25,悬架减震硬,5,"乘坐空间很满意,油耗满意,外观漂亮,转向精准,悬架减震硬,储物空间很大,前排座椅舒适,后排空间充足",65,"乘坐空间很满意,外观漂亮,油耗满意",45,10.5,10.5
星锐,江淮,轻客,4.62,217800,109700,12,,0,"乘坐空间能装,外观漂亮,油耗低",14,"乘坐空间能装,外观漂亮,油耗低",14,14,14
蒙派克E,福田,轻客,4.62,98600,74600,11,,0,"乘坐空间给力,外观流畅,转向明确",19,"乘坐空间给力,外观流畅,转向明确",19,,
北汽幻速H6,北汽幻速,轻客,4.57,75800,59800,7,,0,"乘坐空间满意,外观很喜欢,储物空间丰富",14,"乘坐空间满意,外观很喜欢,储物空间丰富",14,8,8
新世代全顺,福特,轻客,4.49,241500,164500,12,,0,"油耗满意,乘坐空间满意,外观硬朗",18,"油耗满意,乘坐空间满意,外观硬朗",18,10.5,10.5
福田风景,福田,轻客,4.38,95200,56300,28,"车子配置实在太低,悬架减震比较硬,转向手感比较硬",9,"乘坐空间满意,油耗满意,外观时尚,车子动力强,内饰造型比较喜欢,储物空间都很大,操控性能很好,前排座椅很舒服,悬架减震比较硬,车子配置实在太低",82,"乘坐空间满意,油耗满意,外观时尚",56,8,10
全顺,福特,轻客,4.35,169900,126400,59,"车子配置不够高,悬架减震太硬了,起步动力有点肉",24,"乘坐空间足够,油耗满意,外观漂亮,车子配置不够高,储物空间大,悬架减震太硬了,操控不是很累,后排空间大,起步动力有点肉,转向精准",108,"乘坐空间足够,油耗满意,外观漂亮",58,9.6,9.6
御风,东风,轻客,4.26,226800,102800,5,,0,"乘坐空间非常不错,油耗满意",8,"乘坐空间非常不错,油耗满意",8,8.3,8.3
风景G9,福田,轻客,4.21,192800,97300,10,,0,"乘坐空间非常宽敞,乘坐空间满意",6,"乘坐空间满意,乘坐空间非常宽敞",6,11.5,11.5
金杯海狮,金杯,轻客,4.13,93800,61800,7,,0,"乘坐空间满意,外观经典",7,"乘坐空间满意,外观经典",7,,
依维柯褒迪Power Daily,依维柯,轻客,3.97,317900,139900,7,,0,"乘坐空间很给力,转向手感不错,外观挺霸气",13,"乘坐空间很给力,外观挺霸气,转向手感不错",13,10,10
瑞风,江淮,轻客,3.83,105800,99900,23,隔音不好,3,"乘坐空间舒适,外观圆润,隔音不好",21,"乘坐空间舒适,外观圆润",18,11.5,11.5
风景G7,福田,轻客,3.75,99800,65500,5,,0,"油耗满意,乘坐空间满意",8,"油耗满意,乘坐空间满意",8,,
金旅海狮,金旅,轻客,3.68,89800,65900,15,,0,乘坐空间给力,5,乘坐空间给力,5,11.5,11.5
阁瑞斯,金杯,轻客,3.51,277800,79800,12,油耗高,3,"乘坐空间方便,油耗高",14,乘坐空间方便,11,12,12
